,Currency,Israel,Australia,Brazil,Canada,China,Denmark,Euro,Hungary,India,Japan,Mexico,New Zealand,Norway,Poland,Singapore,Sweden,Switzerland,United Kingdom,United States
,,ILS,AUD,BRL,CAD,CNY,DKK,EUR,HUF,INR,JPY,MXN,NZD,NOK,PLN,SGD,SEK,CHF,GBP,USD
Israel,ILS,,0.4659202,1.66722241,0.4585986,2.277442092,2.119060821,0.2835577,103.3930151,31.14975952,53.1143,5.771023064,0.566998156,3.133518,1.202682,0.4249204409,3.064657,0.2617481,0.2466401,0.333990181
Australia,AUD,2.146291,,3.579393,0.98434,4.888276,4.54835,0.60862,221.91,66.85453,114.001,12.38577,1.216891,6.725411,2.581425,0.91196,6.5779,0.5617266,0.52939,0.71684
Brazil,BRL,0.5998,0.2795,,0.2750908,1.366349,1.271163,0.1701,62.0052754,18.6849877,31.862,3.4614,0.3401,1.879329,0.721554864,0.2548753,1.837742,0.1569965,0.1479,0.2003607
Canada,CAD,2.180556,1.015915,3.635168,,4.965824,4.6207,0.618305,225.434,67.9198,115.835,12.58291,1.23626,6.832654,2.62249,0.926474,6.68255,0.57076,0.5377,0.728285
China,CNY,0.4391302753,0.2045862,0.7319473,0.2013602,,0.9304367,0.124507,45.398746,13.67647,23.32593,2.533993,0.2489468,1.375931,0.5281201187,0.1865779,1.345517,0.1149175,0.1083027,0.1466652
Denmark,DKK,0.4718630387,0.2198585,0.7866619,0.2164175,1.074764,,0.133811,48.78733,14.69856,25.0654,2.723132,0.267545,1.47874,0.567545,0.2005025,1.4462,0.1234815,0.1163925,0.1576124
Euro,EUR,3.52662,1.64313,5.878903,1.61734,8.031676,7.473205,,364.603,109.845,187.316,20.3508,1.999435,11.05085,4.2414,1.498405,10.80788,0.92298,0.86985,1.177855
Hungary,HUF,0.009672485,0.004507131,0.01612766,0.004435889,0.0220264589,0.02049713,0.00274271,,0.3012673297,0.513772177,0.0558160304,0.005484369,0.0303124455,0.01163292,0.004110451,0.02964489,0.002531547,0.002385603,0.003230515
India,INR,0.0321029634,0.01495899,0.0535188923,0.01472311,0.07311424,0.0680338754,0.009103742,3.319222183,,1.705494,0.1852669424,0.01820215,0.100606122,0.0386122562,0.01364159,0.0983921,0.008402567,0.007918622,0.01072308
Japan,JPY,0.01882732,0.008772,0.03138411,0.008634,0.04287075,0.039895,0.005338,1.946388,0.5863294,,0.1086403,0.010674,0.058995,0.02264134,0.008,0.057697,0.004927334,0.004643,0.006287647
Mexico,MXN,0.1732795045,0.08073784,0.2889634,0.0794729,0.3946905,0.3672242,0.04913876,17.916,5.397614893,9.204684,,0.0982485,0.54303,0.208415,0.07363,0.53108,0.04535492,0.04274374,0.05787908
New Zealand,NZD,1.763658926,0.821765,2.941445,0.8088912,4.01734,3.7375,0.500145,182.3565,54.94407,93.6865,10.17825,,5.5269,2.12132,0.74941,5.4055,0.4616,0.435035,0.5891
Norway,NOK,0.3191147,0.14868,0.5319733,0.1463525,0.7267808,0.67625,0.0904918,32.98975,9.939753,16.95205,1.84153,0.180928,,0.383805,0.13559,0.977995,0.08352,0.07871429,0.1065855
Poland,PLN,0.831475,0.38739,1.385896,0.38132,1.893457343,1.76195,0.23577,85.96292,25.89780047,44.1645,4.7981,0.47141,2.6055,,0.35328,2.5482,0.217617,0.20508,0.2777043
Singapore,SGD,2.353381743,1.09654,3.923493,1.079375,5.360028,4.9875,0.66737,243.331,73.30526,125.0105,13.58142,1.33437,7.375076,2.83063,,7.21295,0.615975,0.580505,0.7860801
Sweden,SEK,0.3263177,0.152024,0.5439536,0.1496445,0.7432088,0.691465,0.0925245,33.73545,10.16363,17.3319,1.88295,0.184997,1.0225,0.392435,0.13864,,0.0854005,0.080481,0.108983
Switzerland,CHF,3.820467,1.780115,6.369825,1.752361,8.701964,8.0966,1.083447,395.0154,119.0093,202.9495,22.04833,2.166215,11.97329,4.59523,1.6234,11.7095,,0.94239,1.276144
United Kingdom,GBP,4.054491,1.888965,6.761338,1.85908,9.233004,8.5916,1.149655,419.17,126.2846,215.3465,23.39524,2.29858,12.70417,4.87592,1.722645,12.4253,1.06109,,1.354095
United States,USD,2.9941,1.395011,4.991,1.373085,6.81825,6.34468,0.84899,309.54,93.25675,159.032,17.2774,1.69749,9.3822,3.600855,1.272135,9.17572,0.783615,0.7385006,